env_step,returned_episode_returns
4096,0
8192,0
12288,0
16384,0
20480,0
24576,0
28672,0
32768,0
36864,0
40960,0
45056,0
49152,0
53248,0
57344,0
61440,0
65536,0
69632,0
73728,0
77824,0
81920,0
86016,0
90112,0
94208,0
98304,0
102400,0
106496,0
110592,0
114688,0
118784,0
122880,0
126976,0
131072,0
135168,0
139264,0
143360,0
147456,0
151552,0
155648,0
159744,0
163840,0
167936,0
172032,0
176128,0
180224,0
184320,0
188416,0
192512,0
196608,0
200704,0
204800,0
208896,0
212992,0
217088,0
221184,0
225280,0
229376,0
233472,0
237568,0
241664,0
245760,0
249856,0
253952,0
258048,0
262144,0
266240,0
270336,0
274432,0
278528,0
282624,0
286720,0
290816,0
294912,0
299008,0
303104,0
307200,0
311296,0
315392,0
319488,0
323584,0.531005859375
327680,0.5859375
331776,0.5859375
335872,0.5859375
339968,0.5859375
344064,0.5859375
348160,0.5859375
352256,0.5859375
356352,0.5859375
360448,0.5859375
364544,0.5859375
368640,0.5859375
372736,0.5859375
376832,0.5859375
380928,0.5859375
385024,0.5859375
389120,0.5859375
393216,0.5859375
397312,0.5859375
401408,0.5859375
405504,0.5859375
409600,0.5859375
413696,0.5859375
417792,0.5859375
421888,0.5859375
425984,0.5859375
430080,0.5859375
434176,0.5859375
438272,0.5859375
442368,0.5859375
446464,0.5859375
450560,0.5859375
454656,0.5859375
458752,0.5859375
462848,0.5859375
466944,0.5859375
471040,0.5859375
475136,0.5859375
479232,0.5859375
483328,0.5859375
487424,0.5859375
491520,0.5859375
495616,0.5859375
499712,0.5859375
503808,0.5859375
507904,0.5859375
512000,0.5859375
516096,0.5859375
520192,0.5859375
524288,0.5859375
528384,0.5859375
532480,0.5859375
536576,0.5859375
540672,0.5859375
544768,0.5859375
548864,0.5859375
552960,0.5859375
557056,0.5859375
561152,0.5859375
565248,0.5859375
569344,0.5859375
573440,0.5859375
577536,0.5859375
581632,0.5859375
585728,0.5859375
589824,0.5859375
593920,0.5859375
598016,0.5859375
602112,0.5859375
606208,0.5859375
610304,0.5859375
614400,0.5859375
618496,0.5859375
622592,0.5859375
626688,0.5859375
630784,0.5859375
634880,0.5859375
638976,0.5859375
643072,1.0986328125
647168,1.2421875
651264,1.2421875
655360,1.2421875
659456,1.2421875
663552,1.2421875
667648,1.2421875
671744,1.2421875
675840,1.2421875
679936,1.2421875
684032,1.2421875
688128,1.2421875
692224,1.2421875
696320,1.2421875
700416,1.2421875
704512,1.2421875
708608,1.2421875
712704,1.2421875
716800,1.2421875
720896,1.2421875
724992,1.2421875
729088,1.2421875
733184,1.2421875
737280,1.2421875
741376,1.2421875
745472,1.2421875
749568,1.2421875
753664,1.2421875
757760,1.2421875
761856,1.2421875
765952,1.2421875
770048,1.2421875
774144,1.2421875
778240,1.2421875
782336,1.2421875
786432,1.2421875
790528,1.2421875
794624,1.2421875
798720,1.2421875
802816,1.2421875
806912,1.2421875
811008,1.2421875
815104,1.2421875
819200,1.2421875
823296,1.2421875
827392,1.2421875
831488,1.2421875
835584,1.2421875
839680,1.2421875
843776,1.2421875
847872,1.2421875
851968,1.2421875
856064,1.2421875
860160,1.2421875
864256,1.2421875
868352,1.2421875
872448,1.2421875
876544,1.2421875
880640,1.2421875
884736,1.2421875
888832,1.2421875
892928,1.2421875
897024,1.2421875
901120,1.2421875
905216,1.2421875
909312,1.2421875
913408,1.2421875
917504,1.2421875
921600,1.2421875
925696,1.2421875
929792,1.2421875
933888,1.2421875
937984,1.2421875
942080,1.2421875
946176,1.2421875
950272,1.2421875
954368,1.2421875
958464,1.2421875
962560,2.21630859375
966656,2.7265625
970752,2.7265625
974848,2.7265625
978944,2.7265625
983040,2.7265625
987136,2.7265625
991232,2.7265625
995328,2.7265625
999424,2.7265625
1003520,2.7265625
1007616,2.7265625
1011712,2.7265625
1015808,2.7265625
1019904,2.7265625
1024000,2.7265625
1028096,2.7265625
1032192,2.7265625
1036288,2.7265625
1040384,2.7265625
1044480,2.7265625
1048576,2.7265625
1052672,2.7265625
1056768,2.7265625
1060864,2.7265625
1064960,2.7265625
1069056,2.7265625
1073152,2.7265625
1077248,2.7265625
1081344,2.7265625
1085440,2.7265625
1089536,2.7265625
1093632,2.7265625
1097728,2.7265625
1101824,2.7265625
1105920,2.7265625
1110016,2.7265625
1114112,2.7265625
1118208,2.7265625
1122304,2.7265625
1126400,2.7265625
1130496,2.7265625
1134592,2.7265625
1138688,2.7265625
1142784,2.7265625
1146880,2.7265625
1150976,2.7265625
1155072,2.7265625
1159168,2.7265625
1163264,2.7265625
1167360,2.7265625
1171456,2.7265625
1175552,2.7265625
1179648,2.7265625
1183744,2.7265625
1187840,2.7265625
1191936,2.7265625
1196032,2.7265625
1200128,2.7265625
1204224,2.7265625
1208320,2.7265625
1212416,2.7265625
1216512,2.7265625
1220608,2.7265625
1224704,2.7265625
1228800,2.7265625
1232896,2.7265625
1236992,2.7265625
1241088,2.7265625
1245184,2.7265625
1249280,2.7265625
1253376,2.7265625
1257472,2.7265625
1261568,2.7265625
1265664,2.7265625
1269760,2.7265625
1273856,2.7265625
1277952,2.7265625
1282048,4.191650390625
1286144,5.484375
1290240,5.484375
1294336,5.484375
1298432,5.484375
1302528,5.484375
1306624,5.484375
1310720,5.484375
1314816,5.484375
1318912,5.484375
1323008,5.484375
1327104,5.484375
1331200,5.484375
1335296,5.484375
1339392,5.484375
1343488,5.484375
1347584,5.484375
1351680,5.484375
1355776,5.484375
1359872,5.484375
1363968,5.484375
1368064,5.484375
1372160,5.484375
1376256,5.484375
1380352,5.484375
1384448,5.484375
1388544,5.484375
1392640,5.484375
1396736,5.484375
1400832,5.484375
1404928,5.484375
1409024,5.484375
1413120,5.484375
1417216,5.484375
1421312,5.484375
1425408,5.484375
1429504,5.484375
1433600,5.484375
1437696,5.484375
1441792,5.484375
1445888,5.484375
1449984,5.484375
1454080,5.484375
1458176,5.484375
1462272,5.484375
1466368,5.484375
1470464,5.484375
1474560,5.484375
1478656,5.484375
1482752,5.484375
1486848,5.484375
1490944,5.484375
1495040,5.484375
1499136,5.484375
1503232,5.484375
1507328,5.484375
1511424,5.484375
1515520,5.484375
1519616,5.484375
1523712,5.484375
1527808,5.484375
1531904,5.484375
1536000,5.484375
1540096,5.484375
1544192,5.484375
1548288,5.484375
1552384,5.484375
1556480,5.484375
1560576,5.484375
1564672,5.484375
1568768,5.484375
1572864,5.484375
1576960,5.484375
1581056,5.484375
1585152,5.484375
1589248,5.484375
1593344,5.484375
1597440,5.484375
1601536,7.42041015625
1605632,10.25
1609728,10.25
1613824,10.25
1617920,10.25
1622016,10.25
1626112,10.25
1630208,10.25
1634304,10.25
1638400,10.25
1642496,10.25
1646592,10.25
1650688,10.25
1654784,10.25
1658880,10.25
1662976,10.25
1667072,10.25
1671168,10.25
1675264,10.25
1679360,10.25
1683456,10.25
1687552,10.25
1691648,10.25
1695744,10.25
1699840,10.25
1703936,10.25
1708032,10.25
1712128,10.25
1716224,10.25
1720320,10.25
1724416,10.25
1728512,10.25
1732608,10.25
1736704,10.25
1740800,10.25
1744896,10.25
1748992,10.25
1753088,10.25
1757184,10.25
1761280,10.25
1765376,10.25
1769472,10.25
1773568,10.25
1777664,10.25
1781760,10.25
1785856,10.25
1789952,10.25
1794048,10.25
1798144,10.25
1802240,10.25
1806336,10.25
1810432,10.25
1814528,10.25
1818624,10.25
1822720,10.25
1826816,10.25
1830912,10.25
1835008,10.25
1839104,10.25
1843200,10.25
1847296,10.25
1851392,10.25
1855488,10.25
1859584,10.25
1863680,10.25
1867776,10.25
1871872,10.25
1875968,10.25
1880064,10.25
1884160,10.25
1888256,10.25
1892352,10.25
1896448,10.25
1900544,10.25
1904640,10.25
1908736,10.25
1912832,10.25
1916928,10.25
1921024,11.807861328125
1925120,15.7890625
1929216,15.7890625
1933312,15.7890625
1937408,15.7890625
1941504,15.7890625
1945600,15.7890625
1949696,15.7890625
1953792,15.7890625
1957888,15.7890625
1961984,15.7890625
1966080,15.7890625
1970176,15.7890625
1974272,15.7890625
1978368,15.7890625
1982464,15.7890625
1986560,15.7890625
1990656,15.7890625
1994752,15.7890625
1998848,15.7890625
2002944,15.7890625
2007040,15.7890625
2011136,15.7890625
2015232,15.7890625
2019328,15.7890625
2023424,15.7890625
2027520,15.7890625
2031616,15.7890625
2035712,15.7890625
2039808,15.7890625
2043904,15.7890625
2048000,15.7890625
2052096,15.7890625
2056192,15.7890625
2060288,15.7890625
2064384,15.7890625
2068480,15.7890625
2072576,15.7890625
2076672,15.7890625
2080768,15.7890625
2084864,15.7890625
2088960,15.7890625
2093056,15.7890625
2097152,15.7890625
2101248,15.7890625
2105344,15.7890625
2109440,15.7890625
2113536,15.7890625
2117632,15.7890625
2121728,15.7890625
2125824,15.7890625
2129920,15.7890625
2134016,15.7890625
2138112,15.7890625
2142208,15.7890625
2146304,15.7890625
2150400,15.7890625
2154496,15.7890625
2158592,15.7890625
2162688,15.7890625
2166784,15.7890625
2170880,15.7890625
2174976,15.7890625
2179072,15.7890625
2183168,15.7890625
2187264,15.7890625
2191360,15.7890625
2195456,15.7890625
2199552,15.7890625
2203648,15.7890625
2207744,15.7890625
2211840,15.7890625
2215936,15.7890625
2220032,15.7890625
2224128,15.7890625
2228224,15.7890625
2232320,15.7890625
2236416,15.7890625
2240512,16.9755859375
2244608,23.3828125
2248704,23.3828125
2252800,23.3828125
2256896,23.3828125
2260992,23.3828125
2265088,23.3828125
2269184,23.3828125
2273280,23.3828125
2277376,23.3828125
2281472,23.3828125
2285568,23.3828125
2289664,23.3828125
2293760,23.3828125
2297856,23.3828125
2301952,23.3828125
2306048,23.3828125
2310144,23.3828125
2314240,23.3828125
2318336,23.3828125
2322432,23.3828125
2326528,23.3828125
2330624,23.3828125
2334720,23.3828125
2338816,23.3828125
2342912,23.3828125
2347008,23.3828125
2351104,23.3828125
2355200,23.3828125
2359296,23.3828125
2363392,23.3828125
2367488,23.3828125
2371584,23.3828125
2375680,23.3828125
2379776,23.3828125
2383872,23.3828125
2387968,23.3828125
2392064,23.3828125
2396160,23.3828125
2400256,23.3828125
2404352,23.3828125
2408448,23.3828125
2412544,23.3828125
2416640,23.3828125
2420736,23.3828125
2424832,23.3828125
2428928,23.3828125
2433024,23.3828125
2437120,23.3828125
2441216,23.3828125
2445312,23.3828125
2449408,23.3828125
2453504,23.3828125
2457600,23.3828125
2461696,23.3828125
2465792,23.3828125
2469888,23.3828125
2473984,23.3828125
2478080,23.3828125
2482176,23.3828125
2486272,23.3828125
2490368,23.3828125
2494464,23.3828125
2498560,23.3828125
2502656,23.3828125
2506752,23.3828125
2510848,23.3828125
2514944,23.3828125
2519040,23.3828125
2523136,23.3828125
2527232,23.3828125
2531328,23.3828125
2535424,23.3828125
2539520,23.3828125
2543616,23.3828125
2547712,23.3828125
2551808,23.3828125
2555904,23.3828125
2560000,23.66259765625
2564096,32.3359375
2568192,32.3359375
2572288,32.3359375
2576384,32.3359375
2580480,32.3359375
2584576,32.3359375
2588672,32.3359375
2592768,32.3359375
2596864,32.3359375
2600960,32.3359375
2605056,32.3359375
2609152,32.3359375
2613248,32.3359375
2617344,32.3359375
2621440,32.3359375
2625536,32.3359375
2629632,32.3359375
2633728,32.3359375
2637824,32.3359375
2641920,32.3359375
2646016,32.3359375
2650112,32.3359375
2654208,32.3359375
2658304,32.3359375
2662400,32.3359375
2666496,32.3359375
2670592,32.3359375
2674688,32.3359375
2678784,32.3359375
2682880,32.3359375
2686976,32.3359375
2691072,32.3359375
2695168,32.3359375
2699264,32.3359375
2703360,32.3359375
2707456,32.3359375
2711552,32.3359375
2715648,32.3359375
2719744,32.3359375
2723840,32.3359375
2727936,32.3359375
2732032,32.3359375
2736128,32.3359375
2740224,32.3359375
2744320,32.3359375
2748416,32.3359375
2752512,32.3359375
2756608,32.3359375
2760704,32.3359375
2764800,32.3359375
2768896,32.3359375
2772992,32.3359375
2777088,32.3359375
2781184,32.3359375
2785280,32.3359375
2789376,32.3359375
2793472,32.3359375
2797568,32.3359375
2801664,32.3359375
2805760,32.3359375
2809856,32.3359375
2813952,32.3359375
2818048,32.3359375
2822144,32.3359375
2826240,32.3359375
2830336,32.3359375
2834432,32.3359375
2838528,32.3359375
2842624,32.3359375
2846720,32.3359375
2850816,32.3359375
2854912,32.3359375
2859008,32.3359375
2863104,32.3359375
2867200,32.3359375
2871296,32.3359375
2875392,32.3359375
2879488,32.3359375
2883584,42.17724609375
2887680,43.1953125
2891776,43.1953125
2895872,43.1953125
2899968,43.1953125
2904064,43.1953125
2908160,43.1953125
2912256,43.1953125
2916352,43.1953125
2920448,43.1953125
2924544,43.1953125
2928640,43.1953125
2932736,43.1953125
2936832,43.1953125
2940928,43.1953125
2945024,43.1953125
2949120,43.1953125
2953216,43.1953125
2957312,43.1953125
2961408,43.1953125
2965504,43.1953125
2969600,43.1953125
2973696,43.1953125
2977792,43.1953125
2981888,43.1953125
2985984,43.1953125
2990080,43.1953125
2994176,43.1953125
2998272,43.1953125
3002368,43.1953125
3006464,43.1953125
3010560,43.1953125
3014656,43.1953125
3018752,43.1953125
3022848,43.1953125
3026944,43.1953125
3031040,43.1953125
3035136,43.1953125
3039232,43.1953125
3043328,43.1953125
3047424,43.1953125
3051520,43.1953125
3055616,43.1953125
3059712,43.1953125
3063808,43.1953125
3067904,43.1953125
3072000,43.1953125
3076096,43.1953125
3080192,43.1953125
3084288,43.1953125
3088384,43.1953125
3092480,43.1953125
3096576,43.1953125
3100672,43.1953125
3104768,43.1953125
3108864,43.1953125
3112960,43.1953125
3117056,43.1953125
3121152,43.1953125
3125248,43.1953125
3129344,43.1953125
3133440,43.1953125
3137536,43.1953125
3141632,43.1953125
3145728,43.1953125
3149824,43.1953125
3153920,43.1953125
3158016,43.1953125
3162112,43.1953125
3166208,43.1953125
3170304,43.1953125
3174400,43.1953125
3178496,43.1953125
3182592,43.1953125
3186688,43.1953125
3190784,43.1953125
3194880,43.1953125
3198976,43.1953125
3203072,46.497314453125
3207168,47.421875
3211264,47.421875
3215360,47.421875
3219456,47.421875
3223552,47.421875
3227648,47.421875
3231744,47.421875
3235840,47.421875
3239936,47.421875
3244032,47.421875
3248128,47.421875
3252224,47.421875
3256320,47.421875
3260416,47.421875
3264512,47.421875
3268608,47.421875
3272704,47.421875
3276800,47.421875
3280896,47.421875
3284992,47.421875
3289088,47.421875
3293184,47.421875
3297280,47.421875
3301376,47.421875
3305472,47.421875
3309568,47.421875
3313664,47.421875
3317760,47.421875
3321856,47.421875
3325952,47.421875
3330048,47.421875
3334144,47.421875
3338240,47.421875
3342336,47.421875
3346432,47.421875
3350528,47.421875
3354624,47.421875
3358720,47.421875
3362816,47.421875
3366912,47.421875
3371008,47.421875
3375104,47.421875
3379200,47.421875
3383296,47.421875
3387392,47.421875
3391488,47.421875
3395584,47.421875
3399680,47.421875
3403776,47.421875
3407872,47.421875
3411968,47.421875
3416064,47.421875
3420160,47.421875
3424256,47.421875
3428352,47.421875
3432448,47.421875
3436544,47.421875
3440640,47.421875
3444736,47.421875
3448832,47.421875
3452928,47.421875
3457024,47.421875
3461120,47.421875
3465216,47.421875
3469312,47.421875
3473408,47.421875
3477504,47.421875
3481600,47.421875
3485696,47.421875
3489792,47.421875
3493888,47.421875
3497984,47.421875
3502080,47.421875
3506176,47.421875
3510272,47.421875
3514368,47.421875
3518464,47.421875
3522560,48.677978515625
3526656,49.3359375
3530752,49.3359375
3534848,49.3359375
3538944,49.3359375
3543040,49.3359375
3547136,49.3359375
3551232,49.3359375
3555328,49.3359375
3559424,49.3359375
3563520,49.3359375
3567616,49.3359375
3571712,49.3359375
3575808,49.3359375
3579904,49.3359375
3584000,49.3359375
3588096,49.3359375
3592192,49.3359375
3596288,49.3359375
3600384,49.3359375
3604480,49.3359375
3608576,49.3359375
3612672,49.3359375
3616768,49.3359375
3620864,49.3359375
3624960,49.3359375
3629056,49.3359375
3633152,49.3359375
3637248,49.3359375
3641344,49.3359375
3645440,49.3359375
3649536,49.3359375
3653632,49.3359375
3657728,49.3359375
3661824,49.3359375
3665920,49.3359375
3670016,49.3359375
3674112,49.3359375
3678208,49.3359375
3682304,49.3359375
3686400,49.3359375
3690496,49.3359375
3694592,49.3359375
3698688,49.3359375
3702784,49.3359375
3706880,49.3359375
3710976,49.3359375
3715072,49.3359375
3719168,49.3359375
3723264,49.3359375
3727360,49.3359375
3731456,49.3359375
3735552,49.3359375
3739648,49.3359375
3743744,49.3359375
3747840,49.3359375
3751936,49.3359375
3756032,49.3359375
3760128,49.3359375
3764224,49.3359375
3768320,49.3359375
3772416,49.3359375
3776512,49.3359375
3780608,49.3359375
3784704,49.3359375
3788800,49.3359375
3792896,49.3359375
