"env_step","pdqn_SpaceInvaders-MinAtar - _step","pdqn_SpaceInvaders-MinAtar - _step__MIN","pdqn_SpaceInvaders-MinAtar - _step__MAX","pdqn_SpaceInvaders-MinAtar - model_loss","pdqn_SpaceInvaders-MinAtar - model_loss__MIN","pdqn_SpaceInvaders-MinAtar - model_loss__MAX"
"4096","1","1","1","2.0059518814086914","2.0059518814086914","2.0059518814086914"
"8192","2","2","2","1.062917947769165","1.062917947769165","1.062917947769165"
"12288","3","3","3","1.0204558968544006","1.0198627710342407","1.0210490226745605"
"16384","4","4","4","0.8361240208148957","0.8358784914016724","0.8362867832183838"
"20480","5","5","5","0.8317168831825257","0.8298979997634888","0.8336846232414246"
"24576","6","6","6","0.7633747518062591","0.7622056007385254","0.7643400430679321"
"28672","7","7","7","0.753766018152237","0.7529222965240479","0.7545551657676697"
"32768","8","8","8","0.7514887809753418","0.749739408493042","0.7530772686004639"
"36864","9","9","9","0.7377642035484314","0.7361165881156921","0.7389107942581177"
"40960","10","10","10","0.7306910037994385","0.7279573082923889","0.7329623103141785"
"45056","11","11","11","0.7198469877243042","0.7171627879142761","0.7243127226829529"
"49152","12","12","12","0.7127885341644287","0.7078184485435486","0.7166247963905334"
"53248","13","13","13","0.7033343970775604","0.7000237703323364","0.706307590007782"
"57344","14","14","14","0.6988423645496369","0.6969369649887085","0.7020162343978882"
"61440","15","15","15","0.6946924149990081","0.6913854479789734","0.6980806589126587"
"65536","16","16","16","0.6861695647239685","0.6805492043495178","0.6896027326583862"
"69632","17","17","17","0.6736218214035035","0.6694744229316711","0.6785134077072144"
"73728","18","18","18","0.6646803855895996","0.6559180617332458","0.6691705584526062"
"77824","19","19","19","0.65389643907547","0.6498028039932251","0.6615752577781677"
"81920","20","20","20","0.6448989570140838","0.6419870853424072","0.647212564945221"
"86016","21","21","21","0.6339884638786316","0.6288006901741028","0.6406201720237732"
"90112","22","22","22","0.6232372224330902","0.6179858446121216","0.6284172534942627"
"94208","23","23","23","0.6101882517337799","0.6063244938850403","0.6138036251068115"
"98304","24","24","24","0.6025656282901763","0.5985569953918457","0.6054679751396179"
"102400","25","25","25","0.5893111109733582","0.5862197875976562","0.5946612358093262"
"106496","26","26","26","0.5751363039016724","0.5716866254806519","0.5796579718589783"
"110592","27","27","27","0.5636437654495239","0.560481071472168","0.5661662817001343"
"114688","28","28","28","0.5516119539737702","0.5469461679458618","0.5573399662971497"
"118784","29","29","29","0.5405740141868591","0.536787211894989","0.5454434752464294"
"122880","30","30","30","0.5310122728347778","0.5275591015815735","0.538774311542511"
"126976","31","31","31","0.5174687147140503","0.5124911069869995","0.5225218534469604"
"131072","32","32","32","0.5085241436958313","0.5037643313407898","0.5150673985481262"
"135168","33","33","33","0.4941186547279358","0.48851266503334045","0.5006353855133057"
"139264","34","34","34","0.48793514370918273","0.48116716742515564","0.4946693778038025"
"143360","35","35","35","0.4734469145536423","0.46876126527786255","0.47955140471458435"
"147456","36","36","36","0.4620872884988785","0.4496024549007416","0.468605637550354"
"151552","37","37","37","0.45042544901371","0.44340115785598755","0.456655889749527"
"155648","38","38","38","0.4372446835041046","0.4310092329978943","0.4422856271266937"
"159744","39","39","39","0.4299487084150314","0.4225049316883087","0.4361359179019928"
"163840","40","40","40","0.4206919133663177","0.4133303165435791","0.42708078026771545"
"167936","41","41","41","0.4103172719478607","0.405362069606781","0.41367822885513306"
"172032","42","42","42","0.40284731090068815","0.3992489278316498","0.4068477749824524"
"176128","43","43","43","0.39807237684726715","0.3912193477153778","0.40282776951789856"
"180224","44","44","44","0.3881299883127213","0.383442759513855","0.3931334912776947"
"184320","45","45","45","0.3841529905796051","0.3807912766933441","0.3883056640625"
"188416","46","46","46","0.3764659494161606","0.3715514838695526","0.3833651542663574"
"192512","47","47","47","0.3707054555416107","0.36238718032836914","0.3778705298900604"
"196608","48","48","48","0.3593933016061783","0.3530604839324951","0.36654800176620483"
"200704","49","49","49","0.35617275834083556","0.3536580801010132","0.35934382677078247"
"204800","50","50","50","0.3539163112640381","0.34674692153930664","0.3588583767414093"
"208896","51","51","51","0.3470099240541458","0.3428446054458618","0.352878212928772"
"212992","52","52","52","0.33901403844356537","0.3336237072944641","0.34432169795036316"
"217088","53","53","53","0.3354018241167068","0.33249711990356445","0.3386474847793579"
"221184","54","54","54","0.32988338768482206","0.32778865098953247","0.3329785466194153"
"225280","55","55","55","0.3264432340860367","0.32428979873657227","0.32922497391700745"
"229376","56","56","56","0.3205984145402908","0.31728291511535645","0.3248804211616516"
"233472","57","57","57","0.3189254879951477","0.3133602738380432","0.32359784841537476"
"237568","58","58","58","0.3152294486761093","0.3107563257217407","0.3178316056728363"
"241664","59","59","59","0.3155707478523254","0.3126141428947449","0.3198496401309967"
"245760","60","60","60","0.3068785756826401","0.29910483956336975","0.3127883970737457"
"249856","61","61","61","0.301269057393074","0.29724031686782837","0.3063032925128937"
"253952","62","62","62","0.29977006316184995","0.2947447597980499","0.3037046790122986"
"258048","63","63","63","0.29782815277576447","0.29174456000328064","0.3048505187034607"
"262144","64","64","64","0.292904269695282","0.2873276174068451","0.2979939579963684"
"266240","65","65","65","0.29187258183956144","0.28552842140197754","0.29653748869895935"
"270336","66","66","66","0.2854741126298904","0.2784110903739929","0.2924984097480774"
"274432","67","67","67","0.2846465200185776","0.27777397632598877","0.2891245484352112"
"278528","68","68","68","0.28200172781944277","0.2756466865539551","0.2868465483188629"
"282624","69","69","69","0.2781390190124512","0.27412277460098267","0.2835708558559418"
"286720","70","70","70","0.27541652917861936","0.2688787877559662","0.27942290902137756"
"290816","71","71","71","0.27525732219219207","0.2699139714241028","0.28383517265319824"
"294912","72","72","72","0.2701707392930984","0.2652946710586548","0.27525079250335693"
"299008","73","73","73","0.26767992079257963","0.26298266649246216","0.2718949615955353"
"303104","74","74","74","0.2657817602157593","0.2582823932170868","0.2714407444000244"
"307200","75","75","75","0.26212547421455384","0.25748950242996216","0.26728636026382446"
"311296","76","76","76","0.25488307178020475","0.25078749656677246","0.25928279757499695"
"315392","77","77","77","0.2618530511856079","0.2516770362854004","0.26482105255126953"
"319488","78","78","78","0.24949799627065658","0.24029411375522614","0.25576847791671753"
"323584","79","79","79","0.25304155647754667","0.24472549557685852","0.259137898683548"
"327680","80","80","80","0.25123372226953505","0.24643664062023163","0.25638842582702637"
"331776","81","81","81","0.24952925741672516","0.24616777896881104","0.2565258741378784"
"335872","82","82","82","0.24664486944675446","0.2402096539735794","0.2510506808757782"
"339968","83","83","83","0.24312854707241058","0.23744602501392365","0.24954941868782043"
"344064","84","84","84","0.24004248827695845","0.23308804631233215","0.2453775405883789"
"348160","85","85","85","0.24065510630607606","0.23601919412612915","0.246046245098114"
"352256","86","86","86","0.240036179125309","0.23583541810512543","0.2449939250946045"
"356352","87","87","87","0.23916276246309282","0.23657658696174622","0.24272018671035767"
"360448","88","88","88","0.239285247027874","0.23434048891067505","0.24252194166183472"
"364544","89","89","89","0.23222431689500808","0.22705209255218506","0.23755525052547455"
"368640","90","90","90","0.23083517849445342","0.22609062492847443","0.23762162029743195"
"372736","91","91","91","0.23168221712112427","0.22735166549682617","0.2369898408651352"
"376832","92","92","92","0.2290663167834282","0.22477777302265167","0.23443900048732758"
"380928","93","93","93","0.22809144705533982","0.22485868632793427","0.23416349291801453"
"385024","94","94","94","0.22641949653625487","0.22263473272323608","0.2320239245891571"
"389120","95","95","95","0.22393789142370224","0.2192959189414978","0.22744816541671753"
"393216","96","96","96","0.22427149266004562","0.21747900545597076","0.23151974380016327"
"397312","97","97","97","0.22338272780179977","0.21587282419204712","0.2276567816734314"
"401408","98","98","98","0.2188166692852974","0.21333813667297363","0.22329488396644592"
"405504","99","99","99","0.21505680233240126","0.20819202065467834","0.22333087027072906"
"409600","100","100","100","0.2170445516705513","0.21347865462303162","0.2201111912727356"
"413696","101","101","101","0.21558177769184111","0.2115153670310974","0.2217521071434021"
"417792","102","102","102","0.21762459129095077","0.21464958786964417","0.22348184883594513"
"421888","103","103","103","0.21519784331321717","0.20788021385669708","0.2200784981250763"
"425984","104","104","104","0.21130636781454087","0.20591096580028534","0.21740446984767914"
"430080","105","105","105","0.21178130954504013","0.20589713752269745","0.21555860340595245"
"434176","106","106","106","0.21300241202116013","0.20779383182525635","0.21825779974460602"
"438272","107","107","107","0.21088012754917146","0.2035551220178604","0.21569274365901947"
"442368","108","108","108","0.20875674188137056","0.2021791785955429","0.21560139954090118"
"446464","109","109","109","0.2061772108078003","0.19856619834899902","0.21103635430335999"
"450560","110","110","110","0.20718607902526856","0.20408396422863007","0.20988082885742188"
"454656","111","111","111","0.20725570172071456","0.20450884103775024","0.21206575632095337"
"458752","112","112","112","0.20459068864583968","0.1949859857559204","0.21080049872398376"
"462848","113","113","113","0.2032437101006508","0.19810238480567932","0.20709893107414246"
"466944","114","114","114","0.19936075657606125","0.194442018866539","0.20518839359283447"
"471040","115","115","115","0.20151621252298355","0.1936538964509964","0.20719027519226074"
"475136","116","116","116","0.20214637666940688","0.1984737366437912","0.20586083829402924"
"479232","117","117","117","0.20114838033914567","0.19455695152282715","0.20460368692874908"
"483328","118","118","118","0.19295621812343597","0.18223163485527039","0.20070752501487732"
"487424","119","119","119","0.20257290899753572","0.1979367882013321","0.20636408030986786"
"491520","120","120","120","0.19676361978054047","0.19426485896110535","0.2008928805589676"
"495616","121","121","121","0.19651578664779662","0.18875470757484436","0.2023954838514328"
"499712","122","122","122","0.19162438064813614","0.18674707412719727","0.19566167891025543"
"503808","123","123","123","0.19585936814546584","0.188357412815094","0.20290236175060272"
"507904","124","124","124","0.1917169362306595","0.1831902265548706","0.19964003562927246"
"512000","125","125","125","0.1928853452205658","0.18865889310836792","0.19683516025543213"
"516096","126","126","126","0.1922399267554283","0.18419569730758667","0.19843296706676483"
"520192","127","127","127","0.1899319276213646","0.18469960987567902","0.1961367130279541"
"524288","128","128","128","0.19130099564790726","0.18513479828834534","0.19651305675506592"
"528384","129","129","129","0.19349683970212936","0.1853674203157425","0.1980423778295517"
"532480","130","130","130","0.18445347249507904","0.17591235041618347","0.18958760797977448"
"536576","131","131","131","0.18801299929618837","0.17776745557785034","0.1941569447517395"
