"env_step","pdqn_SpaceInvaders-MinAtar - _step","pdqn_SpaceInvaders-MinAtar - _step__MIN","pdqn_SpaceInvaders-MinAtar - _step__MAX","pdqn_SpaceInvaders-MinAtar - returned_episode_returns","pdqn_SpaceInvaders-MinAtar - returned_episode_returns__MIN","pdqn_SpaceInvaders-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.259521484375","0.259521484375","0.259521484375"
"8192","2","2","2","1.610595703125","1.610595703125","1.610595703125"
"12288","3","3","3","2.76171875","2.76025390625","2.76318359375"
"16384","4","4","4","3.662353515625","3.654541015625","3.670166015625"
"20480","5","5","5","3.826025390625","3.80078125","3.841064453125"
"24576","6","6","6","3.79345703125","3.77099609375","3.81201171875"
"28672","7","7","7","4.0443359375","4.033935546875","4.0556640625"
"32768","8","8","8","4.1741943359375","4.142333984375","4.24951171875"
"36864","9","9","9","3.9021728515625","3.833984375","3.965576171875"
"40960","10","10","10","4.0069580078125","3.885986328125","4.14599609375"
"45056","11","11","11","3.8119140625","3.65185546875","3.974609375"
"49152","12","12","12","3.83828125","3.603759765625","4.081787109375"
"53248","13","13","13","3.9836669921875","3.709228515625","4.211669921875"
"57344","14","14","14","3.9268798828125","3.722900390625","4.0986328125"
"61440","15","15","15","4.24189453125","3.9189453125","4.454833984375"
"65536","16","16","16","4.234765625","4.034423828125","4.443359375"
"69632","17","17","17","4.2796142578125","3.99853515625","4.6689453125"
"73728","18","18","18","4.1907958984375","3.762939453125","4.441162109375"
"77824","19","19","19","4.128564453125","3.875244140625","4.376220703125"
"81920","20","20","20","4.255078125","3.73583984375","4.4345703125"
"86016","21","21","21","4.167431640625","3.892578125","4.44189453125"
"90112","22","22","22","4.239306640625","3.9501953125","4.603515625"
"94208","23","23","23","4.18486328125","3.840087890625","4.548583984375"
"98304","24","24","24","4.1110107421875","3.734375","4.48046875"
"102400","25","25","25","4.2294189453125","3.904052734375","4.628173828125"
"106496","26","26","26","4.4010009765625","4.06103515625","4.932861328125"
"110592","27","27","27","4.4072998046875","3.954345703125","4.77783203125"
"114688","28","28","28","4.3709716796875","3.9521484375","4.75830078125"
"118784","29","29","29","4.326318359375","4.128662109375","4.751220703125"
"122880","30","30","30","4.3159912109375","4.083740234375","4.875"
"126976","31","31","31","4.356298828125","4.099365234375","4.744873046875"
"131072","32","32","32","4.4757568359375","3.875732421875","4.993896484375"
"135168","33","33","33","4.6508056640625","4.064453125","5.20068359375"
"139264","34","34","34","4.5771240234375","4.028564453125","5.347900390625"
"143360","35","35","35","4.580126953125","4.15966796875","5.24560546875"
"147456","36","36","36","4.61318359375","4.29345703125","5.17626953125"
"151552","37","37","37","4.6781005859375","4.125244140625","5.353759765625"
"155648","38","38","38","4.6989013671875","4.3310546875","5.6787109375"
"159744","39","39","39","4.656640625","4.3017578125","5.058837890625"
"163840","40","40","40","4.6350830078125","4.39990234375","4.877685546875"
"167936","41","41","41","4.67041015625","4.408935546875","4.997314453125"
"172032","42","42","42","4.5681396484375","4.26171875","5.004150390625"
"176128","43","43","43","4.6811767578125","4.191650390625","5.281494140625"
"180224","44","44","44","4.7853759765625","4.397705078125","5.26611328125"
"184320","45","45","45","4.71240234375","4.347412109375","4.980224609375"
"188416","46","46","46","4.7155029296875","4.568359375","4.957275390625"
"192512","47","47","47","4.82431640625","4.439208984375","5.4990234375"
"196608","48","48","48","4.8346435546875","4.36572265625","5.384033203125"
"200704","49","49","49","4.7976318359375","4.523193359375","5.348876953125"
"204800","50","50","50","4.9014404296875","4.61669921875","5.314208984375"
"208896","51","51","51","4.9026123046875","4.663330078125","5.2099609375"
"212992","52","52","52","4.703125","4.205322265625","5.1181640625"
"217088","53","53","53","4.710400390625","4.013671875","5.548095703125"
"221184","54","54","54","4.700390625","4.16845703125","5.179443359375"
"225280","55","55","55","4.8417236328125","4.388427734375","5.267333984375"
"229376","56","56","56","4.705224609375","4.26904296875","5.176513671875"
"233472","57","57","57","4.755029296875","4.006591796875","5.424072265625"
"237568","58","58","58","4.845751953125","4.521728515625","5.0908203125"
"241664","59","59","59","5.009619140625","4.687744140625","5.312255859375"
"245760","60","60","60","5.188525390625","4.87353515625","5.513916015625"
"249856","61","61","61","5.2082275390625","4.622314453125","5.968505859375"
"253952","62","62","62","5.1424560546875","4.701416015625","5.818359375"
"258048","63","63","63","5.055615234375","4.61181640625","5.578369140625"
"262144","64","64","64","5.0298583984375","4.80908203125","5.734130859375"
"266240","65","65","65","5.08525390625","4.630859375","5.64306640625"
"270336","66","66","66","5.2853271484375","4.91943359375","5.73486328125"
"274432","67","67","67","5.3693115234375","5.093505859375","5.80712890625"
"278528","68","68","68","5.2865234375","5.09765625","5.6533203125"
"282624","69","69","69","5.3466064453125","4.87109375","6.0810546875"
"286720","70","70","70","5.400927734375","4.9912109375","5.766357421875"
"290816","71","71","71","5.5132080078125","5.29638671875","6.096435546875"
"294912","72","72","72","5.480419921875","5.0947265625","5.937255859375"
"299008","73","73","73","5.5044677734375","4.857421875","5.852783203125"
"303104","74","74","74","5.3977294921875","4.592529296875","5.709716796875"
"307200","75","75","75","5.3627685546875","5.166748046875","5.62890625"
"311296","76","76","76","5.39599609375","5.00439453125","5.880859375"
"315392","77","77","77","5.5293212890625","5.26953125","6.080322265625"
"319488","78","78","78","5.2671142578125","4.94384765625","5.856689453125"
"323584","79","79","79","5.2430419921875","5.012451171875","5.725341796875"
"327680","80","80","80","5.3741455078125","5.060302734375","5.77099609375"
"331776","81","81","81","5.193603515625","4.918212890625","5.6953125"
"335872","82","82","82","5.32578125","4.868896484375","5.84716796875"
"339968","83","83","83","5.5616455078125","4.64453125","6.157470703125"
"344064","84","84","84","5.6662353515625","4.9677734375","6.424072265625"
"348160","85","85","85","5.504833984375","4.744140625","6.2890625"
"352256","86","86","86","5.647216796875","5.25048828125","6.045166015625"
"356352","87","87","87","5.6429931640625","5.1650390625","6.123779296875"
"360448","88","88","88","5.8395263671875","5.28662109375","6.25830078125"
"364544","89","89","89","5.8449462890625","5.083740234375","6.53466796875"
"368640","90","90","90","5.7735595703125","5.367431640625","6.74951171875"
"372736","91","91","91","5.72744140625","5.180419921875","6.369140625"
"376832","92","92","92","5.6928955078125","5.114501953125","6.25"
"380928","93","93","93","5.7331298828125","5.267822265625","6.131103515625"
"385024","94","94","94","5.8177490234375","5.4375","6.2734375"
"389120","95","95","95","5.7647705078125","5.081298828125","6.494140625"
"393216","96","96","96","5.8015380859375","4.9375","6.6181640625"
"397312","97","97","97","5.86103515625","5.275146484375","6.362060546875"
"401408","98","98","98","5.8617919921875","5.4853515625","6.1337890625"
"405504","99","99","99","5.894873046875","5.427490234375","6.3291015625"
"409600","100","100","100","6.0909912109375","5.458740234375","6.990478515625"
"413696","101","101","101","6.0626953125","5.613037109375","6.5439453125"
"417792","102","102","102","6.316357421875","5.890869140625","6.66943359375"
"421888","103","103","103","6.3561279296875","5.916748046875","7.12109375"
"425984","104","104","104","6.1984619140625","5.489990234375","6.857666015625"
"430080","105","105","105","6.286572265625","5.380859375","6.71435546875"
"434176","106","106","106","6.1734619140625","5.37158203125","6.697998046875"
"438272","107","107","107","6.089404296875","5.59423828125","6.50146484375"
